Compound Numbers,Molecule SMILES,Purity,pIC50, std_dev_pIC50
70,O=C(NCCO)C1=CC=C(C=C1)C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CN=CC=C54,100,7.04 ,0.07
71,CNC(C(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=NC=C43)=NN=C2C5=CC=CC=C5)=O,100,5.64 ,0.05
72,O=C(NC)C(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=NC=C54,100,6.35 ,0.06
73,O=C(NC)C(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,100,7.18 ,0.09
74,O=C(N1CCOCC1)C(C=C2)=CC=C2C3=NN=C(N=C3C4=CC=CC=C4)CC5=CNC6=CC=CC=C65,100,7.19 ,0.07
75,O=C(NCCN(C)C)C(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,100,5.54 ,0.10
76,O=C(NCCO)C(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,100,7.46 ,0.07
77,O=C(N1CCN(C)CC1)C(C=C2)=CC=C2C3=NN=C(N=C3C4=CC=CC=C4)CC5=CNC6=CC=CC=C65,100,5.95 ,0.10
78,O=C(NCCOC)C(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,98.7,7.69 ,0.08
79,O=C(NCCNC(C)=O)C(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,100,6.26 ,0.06
80,O=C(N1CCN(C)C(C1)=O)C(C=C2)=CC=C2C3=NN=C(N=C3C4=CC=CC=C4)CC5=CNC6=CC=CC=C65,100,6.69 ,0.04
81,O=C(NCC(N)=O)C(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,100,5.80 ,0.11
82,O=C(NC)C(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5,100,8.01 ,0.06
83,O=C(N1CCOCC1)C(C=C2)=CC=C2C3=NC(CC4=CNC5=CC=CC=C54)=NN=C3C6=CC=CC=C6,100,6.68 ,0.06
84,O=C(NCCN(C)C)C(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5,100,6.00 ,0.04
85,O=C(NCCO)C(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5,100,7.54 ,0.06
86,O=C(N1CCN(C)CC1)C(C=C2)=CC=C2C3=NC(CC4=CNC5=CC=CC=C54)=NN=C3C6=CC=CC=C6,100,6.02 ,0.04
87,O=C(NCCOC)C(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5,100,7.14 , 0.06
88,O=C(NCCNC(C)=O)C(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5,100,6.68 ,0.06
89,O=C(N1CCN(C)C(C1)=O)C(C=C2)=CC=C2C3=NC(CC4=CNC5=CC=CC=C54)=NN=C3C6=CC=CC=C6,100,6.31 ,0.05
90,O=C(NCC(N)=O)C(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5,100,6.42 ,0.05
